no,cat,name,city,addr,lat,lng,src
177,어린이집,맘앤아이어린이집,광양,"전라남도 광양시 진등6길 11 109동 102호(마동, 금광블루빌아파트)",34.9403,127.6959,approx-city
178,어린이집,백합어린이집,광양,전라남도 광양시 광양읍 용두1길 26-16,34.9403,127.6959,approx-city
179,어린이집,보물섬어린이집,광양,"전라남도 광양시 진등3길 6 중동, 대광로제비앙2차 아파트",34.9403,127.6959,approx-city
180,어린이집,보은어린이집,광양,전라남도 광양시 광양읍 유당로 64-3,34.9403,127.6959,approx-city
181,어린이집,사랑가득어린이집,광양,전라남도 광양시 진등길 64 송보파인빌뷰아파트 102동 102호(마동),34.957135,127.691202,nominatim
182,어린이집,새나라어린이집,광양,전라남도 광양시 광양읍 서평8길 9,34.9403,127.6959,approx-city
183,어린이집,샛별어린이집,광양,"전라남도 광양시 구마9길 11 중마, 주공2차관리사무소 2층",34.9403,127.6959,approx-city
184,어린이집,세종어린이집,광양,전라남도 광양시 광장로 112-11 태영1차아파트 단지 내,34.934744,127.69502,nominatim
185,어린이집,송보나린어린이집,광양,전라남도 광양시 진등길 55-5 송보5차아파트 관리동 내,34.958409,127.69211,nominatim
186,어린이집,수시아어린이집,광양,전라남도 광양시 광양읍 서산길 43 102동 104호(수시아아파트),34.9403,127.6959,approx-city
187,어린이집,수퍼루키어린이집,광양,전라남도 광양시 진등6길 51 송보6차아파트 단지 내(마동),34.9403,127.6959,approx-city
188,어린이집,스마일어린이집,광양,전라남도 광양시 지동길 33-21,34.937474,127.681765,nominatim
189,어린이집,슬기어린이집,광양,전라남도 광양시 광양읍 와룡5길 7,34.9403,127.6959,approx-city
190,어린이집,시찌다어린이집,광양,"전라남도 광양시 공영로 39 101동 101호(중동, 호반리젠시빌아파트)",34.935842,127.694589,nominatim
191,어린이집,신화어린이집,광양,전라남도 광양시 공영로 10 (중동),34.935842,127.694589,nominatim
192,어린이집,아기둥지어린이집,광양,"전라남도 광양시 광장로 120 202동109호(중동 ,태영@)",34.934744,127.69502,nominatim
193,어린이집,아기사랑어린이집,광양,전라남도 광양시 가야로 380 4동 101호(가야아파트),34.964108,127.713434,nominatim
194,어린이집,아이사랑어린이집,광양,전라남도 광양시 서평1길 99 109-101(매화마을 주공아파트),34.979995,127.576802,nominatim
195,어린이집,아이캐슬어린이집,광양,전라남도 광양시 광양읍 대림오성로 139 오성타워맨션 관리동 내,34.9403,127.6959,approx-city
196,어린이집,아이편한어린이집,광양,"전라남도 광양시 시청로 62 e편한세상광양아파트, 102동 1층내",34.939277,127.699213,nominatim
197,어린이집,안데르센어린이집,광양,전라남도 광양시 광장로 112-20 성호 1차 106동 옆 (중동),34.932458,127.697574,nominatim
198,어린이집,에르가어린이집,광양,전라남도 광양시 광양읍 서산길 5 에르가아파트 상가동,34.9403,127.6959,approx-city
199,어린이집,에벤에셀어린이집,광양,전라남도 광양시 길호길 91-3,34.930744,127.694789,nominatim
200,어린이집,엔젤어린이집,광양,전라남도 광양시 등논3길 5-2 (마동),34.952583,127.6962,nominatim
201,어린이집,온누리어린이집,광양,전라남도 광양시 광양읍 서북5길 25,34.9403,127.6959,approx-city
202,어린이집,왕자와공주꿈동산어린이집,광양,전라남도 광양시 중촌길 36 (중동),34.9403,127.6959,approx-city
203,어린이집,용강어린이집,광양,전라남도 광양시 용강2길 11,34.9403,127.6959,approx-city
204,어린이집,우림아이어린이집,광양,전라남도 광양시 눈소4길 65 102동 1층,34.9403,127.6959,approx-city
205,어린이집,자연어린이집,광양,전라남도 광양시 광양읍 와룡5길 23,34.9403,127.6959,approx-city
206,어린이집,중앙어린이집,광양,전라남도 광양시 구마길 38-3,34.9403,127.6959,approx-city
207,어린이집,진상어린이집,광양,전라남도 광양시 진상면 섬거길 5-14,34.9403,127.6959,approx-city
208,어린이집,진아리채어린이집,광양,전라남도 광양시 중마1길 21 진아리채아파트 관리동,34.93768,127.687221,nominatim
209,어린이집,창덕어린이집,광양,전라남도 광양시 광양읍 용강1길 12 창덕에버빌2차 관리동 2층,34.9403,127.6959,approx-city
210,어린이집,키즈아이원어린이집,광양,전라남도 광양시 대림2길 3,34.967859,127.564273,nominatim
211,어린이집,태인어린이집,광양,전라남도 광양시 담안2길 16-15,34.9403,127.6959,approx-city
212,어린이집,파랑새어린이집,광양,전라남도 광양시 광양읍 서평10길 3,34.9403,127.6959,approx-city
213,어린이집,포스코금당어린이집,광양,전라남도 광양시 초원길 36 포스코금당어린이집,34.938669,127.722285,nominatim
214,어린이집,포스코금호어린이집,광양,전라남도 광양시 동백길 81 (금호동),34.939955,127.726605,nominatim
215,어린이집,푸른숲어린이집,광양,전라남도 광양시 광장로 70 성호2차아파트 관리동(중동),34.93327,127.689481,nominatim
216,어린이집,푸른어린이집,광양,전라남도 광양시 광양읍 대림오성로 11 대림아파트 단지내,34.9403,127.6959,approx-city
217,어린이집,피노키오유아스쿨어린이집,광양,전라남도 광양시 광양읍 와룡길 9-5,34.9403,127.6959,approx-city
218,어린이집,하늘꿈어린이집,광양,"전라남도 광양시 중마로 210 (중동, 남양파크 관리동 1층)",34.943506,127.703288,nominatim
219,어린이집,한빛어린이집,광양,전라남도 광양시 광양읍 은장도길 15-6,34.9403,127.6959,approx-city
220,어린이집,한아름어린이집,광양,"전라남도 광양시 광장로 84 305동 101호(중동, 성호3차아파트)",34.930906,127.693555,nominatim
221,어린이집,한올유아스쿨어린이집,광양,전라남도 광양시 광양읍 서평2길 19,34.9403,127.6959,approx-city
222,어린이집,해맑은어린이집,광양,전라남도 광양시 느지매기길 15-29,34.9403,127.6959,approx-city
223,어린이집,해오름어린이집,광양,전라남도 광양시 진등1길 33 (중동),34.9403,127.6959,approx-city
