기준일자,전시ID,전시명,일일유료,일일무료,일일총인원,일일금액,누계유료,누계무료,누계총인원,누계금액,점유율
20240829,240712_01,앙리 마티스 LOVE & JAZZ,39,8,47,205000,2834,137,2971,16020000,80.1
20240829,240810_01,댕댕이의 하루,19,0,19,76000,258,36,294,1032000,25.8
20240830,240712_01,앙리 마티스 LOVE & JAZZ,46,0,46,244000,2880,137,3017,16264000,81.3
20240830,240810_01,댕댕이의 하루,9,3,12,36000,267,39,306,1068000,26.7
20240831,240712_01,앙리 마티스 LOVE & JAZZ,72,1,73,382000,2952,138,3090,16646000,83.2
20240831,240810_01,댕댕이의 하루,39,10,49,156000,306,49,355,1224000,30.6
20240901,240712_01,앙리 마티스 LOVE & JAZZ,93,2,95,531000,3045,140,3185,17177000,85.9
20240901,240810_01,댕댕이의 하루,45,0,45,180000,351,49,400,1404000,35.1
20240903,240712_01,앙리 마티스 LOVE & JAZZ,6,1,7,34000,3051,141,3192,17211000,86.1
20240903,240810_01,댕댕이의 하루,1,3,4,4000,352,52,404,1408000,35.2
20240904,240712_01,앙리 마티스 LOVE & JAZZ,84,3,87,416000,3135,144,3279,17627000,88.1
20240904,240810_01,댕댕이의 하루,6,3,9,24000,358,55,413,1432000,35.8
20240905,240712_01,앙리 마티스 LOVE & JAZZ,12,2,14,68000,3147,146,3293,17695000,88.5
20240905,240810_01,댕댕이의 하루,7,0,7,28000,365,55,420,1460000,36.5
20240906,240712_01,앙리 마티스 LOVE & JAZZ,15,0,15,81000,3162,146,3308,17776000,88.9
20240906,240810_01,댕댕이의 하루,3,0,3,12000,368,55,423,1472000,36.8
20240907,240712_01,앙리 마티스 LOVE & JAZZ,85,0,85,477000,3247,146,3393,18253000,91.3
20240907,240810_01,댕댕이의 하루,35,0,35,140000,403,55,458,1612000,40.3
20240908,240712_01,앙리 마티스 LOVE & JAZZ,82,0,82,456000,3329,146,3475,18709000,93.5
20240908,240810_01,댕댕이의 하루,22,0,22,88000,425,55,480,1700000,42.5
20240910,240712_01,앙리 마티스 LOVE & JAZZ,25,0,25,141000,3354,146,3500,18850000,94.3
20240910,240810_01,댕댕이의 하루,8,0,8,32000,433,55,488,1732000,43.3
20240911,240712_01,앙리 마티스 LOVE & JAZZ,51,0,51,259000,3405,146,3551,19109000,95.5
20240911,240810_01,댕댕이의 하루,10,0,10,40000,443,55,498,1772000,44.3
20240912,240712_01,앙리 마티스 LOVE & JAZZ,106,0,106,534000,3511,146,3657,19643000,98.2
20240912,240810_01,댕댕이의 하루,5,0,5,20000,448,55,503,1792000,44.8
20240913,240712_01,앙리 마티스 LOVE & JAZZ,12,23,35,66000,3523,169,3692,19709000,98.5
20240913,240810_01,댕댕이의 하루,4,1,5,16000,452,56,508,1808000,45.2
20240914,240712_01,앙리 마티스 LOVE & JAZZ,57,4,61,327000,3580,173,3753,20036000,100.2
20240914,240810_01,댕댕이의 하루,15,8,23,60000,467,64,531,1868000,46.7
20240915,240712_01,앙리 마티스 LOVE & JAZZ,109,2,111,591000,3689,175,3864,20627000,103.1
20240915,240810_01,댕댕이의 하루,33,5,38,132000,500,69,569,2000000,50
20240918,240712_01,앙리 마티스 LOVE & JAZZ,68,3,71,404000,3757,178,3935,21031000,105.2
20240918,240810_01,댕댕이의 하루,18,0,18,72000,518,69,587,2072000,51.8
20240919,240712_01,앙리 마티스 LOVE & JAZZ,9,3,12,45000,3766,181,3947,21076000,105.4
20240919,240810_01,댕댕이의 하루,5,0,5,20000,523,69,592,2092000,52.3
20240920,240712_01,앙리 마티스 LOVE & JAZZ,58,6,64,298000,3824,187,4011,21374000,106.9
20240920,240810_01,댕댕이의 하루,7,0,7,28000,530,69,599,2120000,53
20240921,240712_01,앙리 마티스 LOVE & JAZZ,42,0,42,228000,3866,187,4053,21602000,108
20240921,240810_01,댕댕이의 하루,1,1,2,4000,531,70,601,2124000,53.1
20240922,240712_01,앙리 마티스 LOVE & JAZZ,60,3,63,364000,3926,190,4116,21966000,109.8
20240922,240810_01,댕댕이의 하루,33,2,35,132000,564,72,636,2256000,56.4
20240924,240712_01,앙리 마티스 LOVE & JAZZ,5,2,7,25000,3931,192,4123,21991000,110
20240924,240810_01,댕댕이의 하루,12,3,15,48000,576,75,651,2304000,57.6
20240925,240712_01,앙리 마티스 LOVE & JAZZ,66,1,67,338000,3997,193,4190,22329000,111.6
20240925,240810_01,댕댕이의 하루,2,3,5,8000,578,78,656,2312000,57.8
20240926,240712_01,앙리 마티스 LOVE & JAZZ,17,1,18,95000,4014,194,4208,22424000,112.1
