순번,구분,기관명,주소,우편번호
187,광양_어린이집,수퍼루키어린이집,전라남도 광양시 진등6길 51 송보6차아파트 단지 내(마동),
188,광양_어린이집,스마일어린이집,전라남도 광양시 지동길 33-21,
189,광양_어린이집,슬기어린이집,전라남도 광양시 광양읍 와룡5길 7,
190,광양_어린이집,시찌다어린이집,"전라남도 광양시 공영로 39 101동 101호(중동, 호반리젠시빌아파트)",
191,광양_어린이집,신화어린이집,전라남도 광양시 공영로 10 (중동),
192,광양_어린이집,아기둥지어린이집,"전라남도 광양시 광장로 120 202동109호(중동 ,태영@)",
193,광양_어린이집,아기사랑어린이집,전라남도 광양시 가야로 380 4동 101호(가야아파트),
194,광양_어린이집,아이사랑어린이집,전라남도 광양시 서평1길 99 109-101(매화마을 주공아파트),
195,광양_어린이집,아이캐슬어린이집,전라남도 광양시 광양읍 대림오성로 139 오성타워맨션 관리동 내,
196,광양_어린이집,아이편한어린이집,"전라남도 광양시 시청로 62 e편한세상광양아파트, 102동 1층내",
197,광양_어린이집,안데르센어린이집,전라남도 광양시 광장로 112-20 성호 1차 106동 옆 (중동),
198,광양_어린이집,에르가어린이집,전라남도 광양시 광양읍 서산길 5 에르가아파트 상가동,
199,광양_어린이집,에벤에셀어린이집,전라남도 광양시 길호길 91-3,
200,광양_어린이집,엔젤어린이집,전라남도 광양시 등논3길 5-2 (마동),
201,광양_어린이집,온누리어린이집,전라남도 광양시 광양읍 서북5길 25,
202,광양_어린이집,왕자와공주꿈동산어린이집,전라남도 광양시 중촌길 36 (중동),
203,광양_어린이집,용강어린이집,전라남도 광양시 용강2길 11,
204,광양_어린이집,우림아이어린이집,전라남도 광양시 눈소4길 65 102동 1층,
205,광양_어린이집,자연어린이집,전라남도 광양시 광양읍 와룡5길 23,
206,광양_어린이집,중앙어린이집,전라남도 광양시 구마길 38-3,
207,광양_어린이집,진상어린이집,전라남도 광양시 진상면 섬거길 5-14,
208,광양_어린이집,진아리채어린이집,전라남도 광양시 중마1길 21 진아리채아파트 관리동,
209,광양_어린이집,창덕어린이집,전라남도 광양시 광양읍 용강1길 12 창덕에버빌2차 관리동 2층,
210,광양_어린이집,키즈아이원어린이집,전라남도 광양시 대림2길 3,
211,광양_어린이집,태인어린이집,전라남도 광양시 담안2길 16-15,
212,광양_어린이집,파랑새어린이집,전라남도 광양시 광양읍 서평10길 3,
213,광양_어린이집,포스코금당어린이집,전라남도 광양시 초원길 36 포스코금당어린이집,
214,광양_어린이집,포스코금호어린이집,전라남도 광양시 동백길 81 (금호동),
215,광양_어린이집,푸른숲어린이집,전라남도 광양시 광장로 70 성호2차아파트 관리동(중동),
216,광양_어린이집,푸른어린이집,전라남도 광양시 광양읍 대림오성로 11 대림아파트 단지내,
