uid	번호	구분	공연장	티켓오픈	제목	모수	연령_20세 미만	연령_20~29세	연령_30~39세	연령_40~49세	연령_50~59세	연령_60~69세	연령_70세 이상	거주_여수	거주_순천	거주_광양	거주_호남	거주_광주	거주_호남외지역
1073	1057	대관	대극장	01시	[메인출력]열린심포니오케스트라 제 19회 정기연주회	1	0	0	100	0	0	0	0	0	0	0	0	0	100
1072	1056	기획	소극장	2024.03.22 14시	관객평점 9.9 뮤지컬 <썸데이>	1	0	0	100	0	0	0	0	0	100	0	0	0	0
1071	1055	대관	대극장	2024.03.22 14시	[메인출력]2024 김창옥 시즌4 토크 콘서트 - 여수	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1069	1054	대관	소극장	01시	[메인출력]2024 신춘음악회	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1068	1053	대관	대극장	2024.03.13 14시	[메인출력]2024 김창완밴드 전국투어 <개구쟁이> 여수공연	3	0	0	33.33	0	66.67	0	0	66.67	0	0	0	0	33.33
1067	1052	기획	대극장	2024.03.21 14시	브런치콘서트 <룰루랄라, 우리 함께 노래해요>	2	0	0	100	0	0	0	0	100	0	0	0	0	0
1066	1051	기획	대극장	2024.03.13 14시	어린이 뮤지컬 <폴리팝> - 여수	1	0	0	100	0	0	0	0	0	100	0	0	0	0
1065	1050	대관	대극장	2024.02.20 01시	[메인출력]2024 주현미 콘서트 <The Original> - 여수	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1064	1049	대관	대극장	2024.02.05 13시	[메인출력]2024 조명섭 ‘달밤 음악회’ 시즌2 - 여수	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1063	1048	기획	대극장	2024.01.31 14시	브런치콘서트 <봄, 여행, 춤 그리고 음악>	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1062	1047	대관	대극장	2024.01.19 19시	[메인출력]2023-24 엠씨더맥스 이수 콘서트 '기행문' - 여수	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1061	1046	대관	대극장	2024.01.22 01시	[메인출력]헬로카봇 뮤지컬 시즌7 〈웰컴 투 파라다이스〉 - 여수	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1060	1045	대관	대극장	2024.01.12 01시	[메인출력]히사이시 조 영화음악 콘서트	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1059	1044	대관	소극장	2024.01.30 01시	[메인출력]이지희&장인규 피아노 조인트 리사이틀	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1058	1043	대관	소극장	01시	김광윤 첫 번째 독주회 - 백미	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1057	1042	기획	대극장	2023.12.19 14시	2024 예울마루 신년음악회	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1056	1041	대관	소극장	2023.12.07 01시	여수하트오케스트라 지역아동센터 다문화가정 청소년음악회	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1055	1040	대관	소극장	2023.12.05 01시	제9회 지역예술인재 콘서트 '네꿈에날개를'	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1053	1039	대관	소극장	01시	클라라의 크리스마스 여행	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1052	1038	대관	대극장	01시	여수전남교원오케스라 제15회 기념 정기연주회	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1051	1037	대관	대극장	2023.11.23 01시	제48회 한국음악협회 여수지부 정기연주회	0	0	0	0	0	0	0	0	0	0	0	0	0	0
